Motorista,1
Ônibus,A 
Via,Batalhão PM/Av. Nações
09:27,,,PETRAPE (Av. Integração)
09:29,,,Caldinho 3D (Av. Integração)
09:31,,,Praça da Ambiental
09:33,,,Corpo de Bombeiros
09:45,,,UNIVASF Campus Juazeiro
Motorista,3
Ônibus,C
Via,Av. 7 de Setembro
08:45,,,UNIVASF Campus Juazeiro
08:50,,,Terminal de Juazeiro – Camelódromo 2 de Julho
09:00,,,Rodoviária – Petrolina (Av. das Nações)
09:03,,,CDF
09:05,,,Caixa d’água COMPESA
09:07,,,UNIVASF Campus Petrolina
09:09,,,Bar Tripa
09:11,,,Supermercado G Barbosa
09:13,,,Grande Rio Veículos
09:15,,,Posto Texaco
09:18,,,Mecânica Bahia
09:20,,,Canteiro de Obras
09:22,,,Colinas
09:25,,,Rádio Grande Rio
09:28,,,Vila Militar
09:30,,,Posto São Francisco
09:33,,,Em frente à Feira da COHAB (Jardim Amazonas)
09:36,,,Em frente ao SAMU (Jardim Amazonas)
09:40,,,Entrada do Bairro Quati
09:43,,,IF Sertão
10:05,,,UNIVASF Campus Ciências Agrárias – CCA
10:13,,,Zé Nilton Automóveis
10:15,,,Del Veículos
10:30,,,UNIVASF Campus Juazeiro
Motorista,4
Ônibus,D
Via,Av. 7 Setembro
08:55,,,Campus Petrolina Centro
08:58,,,Bar da Tripa
09:02,,,Supermercado G Barbosa
09:06,,,Grande Rio Veículos
09:10,,,Posto Texaco
09:15,,,Mecânica Bahia
09:17,,,Canteiro de Obras
09:19,,,Colinas
09:23,,,Rádio Grande Rio
09:26,,,Vila Militar
09:30,,,Posto São Francisco
09:34,,,Em frente à Feira da COHAB (Jardim Amazonas)
09:40,,,Em frente ao SAMU (Jardim Amazonas)
09:45,,,Entrada no Bairro Quati
09:50,,,IF Sertão
10:00,,,UNIVASF Campus Ciências Agrárias
Motorista,4
Ônibus,D
Via,Av. 7 Setembro/Integração
10:05,,,UNIVASF Campus Ciências Agrárias
10:10,,,IF Sertão
10:15,,,Entrada no Bairro Quati
10:20,,,SAMU
10:23,,,Feira da Cohab
10:26,,,Posto São Francisco
10:30,,,Delegacia do Ouro Preto
10:35,,,Parada no Ponto da Joalina
10:38,,,SABEL
10:40,,,Parque Mundo da Lua
10:45,,,Caixa d’agua Compesa
10:48,,,UNIVASF Campus Petrolina Centro
10:52,,,SABEL
10:56,,,Ponto de parada em frente ao Caldo 3D (Av. Integração)
10:58,,,Ponto de parada HAVAN
11:15,,,UNIVASF Campus Ciências Agrárias – CCA
Motorista,1
Ônibus,A
Via,Batalhão PM-BA
11:00,,,UNIVASF Campus Juazeiro
11:02,,,Sanfra Motos
11:10,,,Estação Velha / Cooperativa Brasil
11:13,,,Farmácia Popular (João XXIII)
11:15,,,Verdão
11:17,,,Ao lado do Batalhão da PM
11:22,,,Posto Raul Lins (Castelo Lins)
11:25,,,Equipadora Cordeiro (Alto do Cruzeiro)
11:27,,,Parque Lagoa de Calú
11:30,,,Canteiro de Obras
11:32,,,TV São Francisco
11:34,,,Terminal de Juazeiro – Camelódromo 2 de Julho
11:40,,,Rodoviária – Petrolina (Av. das Nações)
11:42,,,CDF – Curso de Física (Av. das Nações)
11:45,,,Caixa d’agua COMPESA
11:47,,,UNIVASF Campus Petrolina Centro
11:50,,,SABEL
11:53,,,Sementeira
12:03,,,Del Veículos
12:06,,,Escola Estadual Paul Harris
12:09,,,Zé Nilton Automóveis
12:13,,,Em frente à Feira da Cohab (Jardim Amazonas)
12:18,,,Em frente ao SAMU (Jardim Amazonas)
12:21,,,Entrada no Bairro Quati
12:28,,,IF Sertão
12:35,,,UNIVASF Campus Ciências Agrárias – CCA
Motorista,4
Ônibus,D
Via,Av. 7 de Setembro
12:20,,,UNIVASF Campus Juazeiro
12:22,,,Camelódromo 02 de Julho - Terminal Juazeiro
12:25,,,Rodoviária – Petrolina (Av das Nações)
12:28,,,Parque Mundo da Lua Centro
12:30,,,UNIVASF Campus Petrolina Centro
12:32,,,Supermercado G Barbosa
12:35,,,Grande Rio Veículos
12:36,,,Mecânica Bahia
12:38,,,Colina (Vila Eulália)
12:40,,,Rádio Grande Rio
12:42,,,Vila Militar
12:45,,,Posto São Francisco
12:48,,,Em frente à Feira da Cohab (Jardim Amazonas)
12:50,,,Em frente ao SAMU (Jardim Amazonas)
12:52,,,Distribuidora COMPARE
12:54,,,Disk Auto Elétrico
12:55,,,Everest Motos
12:57,,,Posto Entrada do Rio Corrente
12:59,,,Rotatória da Tapera
13:05,,,Ponto de Parada em frente Plante Bem
13:07,,,Zé Nilton Automóveis
13:10,,,Del veículos
13:30,,,UNIVASF Campus Petrolina Centro
13:45,,,UNIVASF Campus Juazeiro
Motorista,2
Ônibus,B 
Via,Honorato Viana
12:00,,,UNIVASF Campus Juazeiro
12:05,,,Terminal de Juazeiro – Camelódromo 2 de Julho
12:12,,,Del Veículos
12:15,,,Escola Paul Harris
12:17,,,Parada Zé Nilton Automóveis
12:20,,,Parada Feira da Cohab
12:22,,,Parada SAMU
12:25,,,Parada entrada do Quati
12:30,,,Parada IF Sertão
12:35,,,UNIVASF Campus Ciências Agrárias – CCA
Motorista,1
Ônibus,A
Via,Batalhão PM-BA
12:35,,,UNIVASF Campus Ciências Agrárias – CCA
12:40,,,IF Sertão
12:45,,,Entrada no Bairro Quati
12:48,,,SAMU
12:53,,,Feira da Cohab
12:55,,,Zé Nilton Automóveis
12:56,,,Del Veículos
13:01,,,Supermercado G Barbosa Juazeiro
13:03,,,AABB
13:05,,,Estação Velha/Cooperativa Brasil
13:07,,,Farmácia Popular (João XXIII)
13:10,,,Verdão
13:15,,,Lado do Batalhão da PM
13:18,,,Posto Raul Lins
13:20,,,Equipadora Cordeiro (Alto do Cruzeiro)
13:23,,,Parque Lagoa de Calú
13:25,,,Canteiro de Obras Juazeiro
13:30,,,TV São Francisco – Juazeiro
13:35,,,UNIVASF Campus Juazeiro
Motorista,2
Ônibus,B 
Via,Av. Nações, Integração
12:35,,,UNIVASF Campus Ciências Agrárias – CCA
12:40,,,IF Sertão
12:45,,,Entrada no Bairro Quati
12:48,,,SAMU
12:53,,,Feira da Cohab
12:56,,,Zé Nilton Automóveis
12:58,,,Del Veículos
13:03,,,Sementeira
13:08,,,SABEL
13:10,,,"Parque Mundo da Lua Av. da Integração"
13:15,,,Caixa d’agua COMPESA
13:18,,,UNIVASF Campus Petrolina Centro
13:23,,,Parada em frente ao Supermercado G Barbosa
13:25,,,Nissan
13:35,,,Supermercado G Barbosa Juazeiro
13:40,,,UNIVASF Campus Juazeiro
Motorista,3
Ônibus,C
Via,Av. 7 Setembro
12:35,,,UNIVASF Campus Ciências Agrárias – CCA
12:40,,,IF Sertão
12:45,,,Entrada no Bairro Quati
12:48,,,SAMU
12:50,,,Feira da Cohab
12:54,,,Posto São Francisco
12:58,,,Delegacia do Ouro Preto
13:00,,,CEAPE
13:06,,,Mecânica Bahia
13:08,,,Posto Big Brother
13:12,,,Parada em frente ao Supermercado G Barbosa
13:15,,,NISSAN
13:17,,,Ministério Público
13:20,,,UNIVASF Campus Petrolina Centro
13:30,,,UNIVASF Campus Juazeiro
Motorista,5
Ônibus,A
Via,Av. 7 Set, Batalhão-PM
15:10,,,UNIVASF Campus Ciências Agrárias – CCA
15:15,,,IF Sertão
15:20,,,Entrada no Bairro Quati
15:22,,,SAMU
15:25,,,Feira da Cohab
15:29,,,Posto São Francisco
15:31,,,Delegacia do Ouro Preto
15:35,,,Joalina (Av. das Nações)
15:40,,,SABEL
15:43,,,Parque Mundo da Lua
15:45,,,UNIVASF Campus Petrolina Centro
16:00,,,Supermercado G Barbosa – Juazeiro
16:03,,,AABB
16:08,,,Estação Velha/Cooperativa Brasil
16:10,,,Farmácia Popular (João XXIII)
16:12,,,Verdão
16:15,,,Lado do Batalhão da PM
16:17,,,Posto Raul Lins (Castelo Branco)
16:22,,,Equipadora Cordeiro (Alto do Cruzeiro)
16:25,,,Parque Lagoa de Calú
16:28,,,Canteiro de Obras
16:33,,,Terminal de Juazeiro – Camelódromo 02 de Julho
17:05,,,Campus Ciências Agrárias
Motorista,6
Ônibus,B
Via,Honorato Viana
15:10,,,UNIVASF Campus Ciências Agrárias – CCA
15:15,,,IF Sertão
15:18,,,Entrada no Bairro Quati
15:23,,,SAMU
15:25,,,Feira da Cohab
15:28,,,Zé Nilton Automóveis
15:30,,,Del Veículos
15:33,,,Padaria Lisboa
15:35,,,Sementeira
15:38,,,SABEL
15:40,,,Parque Mundo da Lua (Av. Integração)
15:42,,,UNIVASF Campus Petrolina Centro
15:52,,,Supermercado G Barbosa – Juazeiro
16:00,,,UNIVASF Campus Juazeiro
Motorista,9
Ônibus,E
Via,Av. 7 Setembro
